CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster,agguluramative,DBC
1,Male,19,15,39,2,4,2
2,Male,21,15,81,3,3,0
3,Female,20,16,6,2,4,1
4,Female,23,16,77,3,3,0
5,Female,31,17,40,2,4,2
6,Female,22,17,76,3,3,0
7,Female,35,18,6,2,4,1
8,Female,23,18,94,3,3,-1
9,Male,64,19,3,2,4,1
10,Female,30,19,72,3,3,0
11,Male,67,19,14,2,4,-1
12,Female,35,19,99,3,3,-1
13,Female,58,20,15,2,4,-1
14,Female,24,20,77,3,3,0
15,Male,37,20,13,2,4,1
16,Male,22,20,79,3,3,0
17,Female,35,21,35,2,4,2
18,Male,20,21,66,3,3,0
19,Male,52,23,29,2,4,2
20,Female,35,23,98,3,3,-1
21,Male,35,24,35,2,4,2
22,Male,25,24,73,3,3,0
23,Female,46,25,5,2,4,1
24,Male,31,25,73,3,3,0
25,Female,54,28,14,2,4,-1
26,Male,29,28,82,3,3,-1
27,Female,45,28,32,2,4,2
28,Male,35,28,61,3,3,-1
29,Female,40,29,31,2,4,2
30,Female,23,29,87,3,3,-1
31,Male,60,30,4,2,4,-1
32,Female,21,30,73,3,3,0
33,Male,53,33,4,2,4,-1
34,Male,18,33,92,3,3,-1
35,Female,49,33,14,2,4,-1
36,Female,21,33,81,3,3,-1
37,Female,42,34,17,2,4,-1
38,Female,30,34,73,3,3,0
39,Female,36,37,26,2,4,-1
40,Female,20,37,75,3,3,0
41,Female,65,38,35,2,4,3
42,Male,24,38,92,3,3,-1
43,Male,48,39,36,2,4,3
44,Female,31,39,61,0,1,3
45,Female,49,39,28,2,4,3
46,Female,24,39,65,3,1,3
47,Female,50,40,55,0,1,3
48,Female,27,40,47,0,1,3
49,Female,29,40,42,0,1,3
50,Female,31,40,42,0,1,3
51,Female,49,42,52,0,1,3
52,Male,33,42,60,0,1,3
53,Female,31,43,54,0,1,3
54,Male,59,43,60,0,1,3
55,Female,50,43,45,0,1,3
56,Male,47,43,41,0,1,3
57,Female,51,44,50,0,1,3
58,Male,69,44,46,0,1,3
59,Female,27,46,51,0,1,3
60,Male,53,46,46,0,1,3
61,Male,70,46,56,0,1,3
62,Male,19,46,55,0,1,3
63,Female,67,47,52,0,1,3
64,Female,54,47,59,0,1,3
65,Male,63,48,51,0,1,3
66,Male,18,48,59,0,1,3
67,Female,43,48,50,0,1,3
68,Female,68,48,48,0,1,3
69,Male,19,48,59,0,1,3
70,Female,32,48,47,0,1,3
71,Male,70,49,55,0,1,3
72,Female,47,49,42,0,1,3
73,Female,60,50,49,0,1,3
74,Female,60,50,56,0,1,3
75,Male,59,54,47,0,1,3
76,Male,26,54,54,0,1,3
77,Female,45,54,53,0,1,3
78,Male,40,54,48,0,1,3
79,Female,23,54,52,0,1,3
80,Female,49,54,42,0,1,3
81,Male,57,54,51,0,1,3
82,Male,38,54,55,0,1,3
83,Male,67,54,41,0,1,3
84,Female,46,54,44,0,1,3
85,Female,21,54,57,0,1,3
86,Male,48,54,46,0,1,3
87,Female,55,57,58,0,1,3
88,Female,22,57,55,0,1,3
89,Female,34,58,60,0,1,3
90,Female,50,58,46,0,1,3
91,Female,68,59,55,0,1,3
92,Male,18,59,41,0,1,3
93,Male,48,60,49,0,1,3
94,Female,40,60,40,0,1,3
95,Female,32,60,42,0,1,3
96,Male,24,60,52,0,1,3
97,Female,47,60,47,0,1,3
98,Female,27,60,50,0,1,3
99,Male,48,61,42,0,1,3
100,Male,20,61,49,0,1,3
101,Female,23,62,41,0,1,3
102,Female,49,62,48,0,1,3
103,Male,67,62,59,0,1,3
104,Male,26,62,55,0,1,3
105,Male,49,62,56,0,1,3
106,Female,21,62,42,0,1,3
107,Female,66,63,50,0,1,3
108,Male,54,63,46,0,1,3
109,Male,68,63,43,0,1,3
110,Male,66,63,48,0,1,3
111,Male,65,63,52,0,1,3
112,Female,19,63,54,0,1,3
113,Female,38,64,42,0,1,3
114,Male,19,64,46,0,1,3
115,Female,18,65,48,0,1,3
116,Female,19,65,50,0,1,3
117,Female,63,65,43,0,1,3
118,Female,49,65,59,0,1,3
119,Female,51,67,43,0,1,3
120,Female,50,67,57,0,1,3
121,Male,27,67,56,0,1,3
122,Female,38,67,40,0,1,3
123,Female,40,69,58,0,1,3
124,Male,39,69,91,4,2,4
125,Female,23,70,29,1,1,3
126,Female,31,70,77,4,2,4
127,Male,43,71,35,0,1,3
128,Male,40,71,95,4,2,4
129,Male,59,71,11,1,0,5
130,Male,38,71,75,4,2,4
131,Male,47,71,9,1,0,5
132,Male,39,71,75,4,2,4
133,Female,25,72,34,0,1,3
134,Female,31,72,71,4,2,4
135,Male,20,73,5,1,0,5
136,Female,29,73,88,4,2,4
137,Female,44,73,7,1,0,5
138,Male,32,73,73,4,2,4
139,Male,19,74,10,1,0,5
140,Female,35,74,72,4,2,4
141,Female,57,75,5,1,0,5
142,Male,32,75,93,4,2,4
143,Female,28,76,40,0,1,3
144,Female,32,76,87,4,2,4
145,Male,25,77,12,1,0,5
146,Male,28,77,97,4,2,4
147,Male,48,77,36,1,1,3
148,Female,32,77,74,4,2,4
149,Female,34,78,22,1,0,5
150,Male,34,78,90,4,2,4
151,Male,43,78,17,1,0,5
152,Male,39,78,88,4,2,4
153,Female,44,78,20,1,0,5
154,Female,38,78,76,4,2,4
155,Female,47,78,16,1,0,5
156,Female,27,78,89,4,2,4
157,Male,37,78,1,1,0,5
158,Female,30,78,78,4,2,4
159,Male,34,78,1,1,0,5
160,Female,30,78,73,4,2,4
161,Female,56,79,35,1,1,3
162,Female,29,79,83,4,2,4
163,Male,19,81,5,1,0,5
164,Female,31,81,93,4,2,4
165,Male,50,85,26,1,0,6
166,Female,36,85,75,4,2,4
167,Male,42,86,20,1,0,6
168,Female,33,86,95,4,2,4
169,Female,36,87,27,1,0,6
170,Male,32,87,63,4,2,-1
171,Male,40,87,13,1,0,6
172,Male,28,87,75,4,2,4
173,Male,36,87,10,1,0,6
174,Male,36,87,92,4,2,4
175,Female,52,88,13,1,0,6
176,Female,30,88,86,4,2,4
177,Male,58,88,15,1,0,6
178,Male,27,88,69,4,2,4
179,Male,59,93,14,1,0,6
180,Male,35,93,90,4,2,4
181,Female,37,97,32,1,0,-1
182,Female,32,97,86,4,2,4
183,Male,46,98,15,1,0,6
184,Female,29,98,88,4,2,4
185,Female,41,99,39,1,0,-1
186,Male,30,99,97,4,2,-1
187,Female,54,101,24,1,0,-1
188,Male,28,101,68,4,2,-1
189,Female,41,103,17,1,0,-1
190,Female,36,103,85,4,2,-1
191,Female,34,103,23,1,0,-1
192,Female,32,103,69,4,2,-1
193,Male,33,113,8,1,0,-1
194,Female,38,113,91,4,2,-1
195,Female,47,120,16,1,0,-1
196,Female,35,120,79,4,2,-1
197,Female,45,126,28,1,0,-1
198,Male,32,126,74,4,2,-1
199,Male,32,137,18,1,0,-1
200,Male,30,137,83,4,2,-1
